model,Accuracy,Precision,Recall,FOne,AUC,TP,FP,FN,TN
SVMNoFeatureEngineering,0.859649122807018,1,0.736708860759494,0.848396501457726,0.985234506475452,291,0,104,346
SVMNoFeatureEngineeringPCA,0.842105263157895,1,0.70379746835443,0.826151560178306,0.963239920977537,278,0,117,346
SVMWithFeatureEngineering,0.759784075573549,0.770573566084788,0.782278481012658,0.776381909547739,0.8133972342138,309,92,86,254
SVMWithFeatureEngineeringPCA,0.744939271255061,0.775401069518717,0.734177215189873,0.754226267880364,0.829706592522134,290,84,105,262
