"fpr","tpr"
1,1
1,0.997109826589595
0.99746835443038,0.997109826589595
0.994936708860759,0.997109826589595
0.992405063291139,0.997109826589595
0.992405063291139,0.994219653179191
0.989873417721519,0.994219653179191
0.987341772151899,0.994219653179191
0.987341772151899,0.991329479768786
0.987341772151899,0.988439306358382
0.984810126582279,0.988439306358382
0.984810126582279,0.985549132947977
0.982278481012658,0.982658959537572
0.982278481012658,0.979768786127168
0.979746835443038,0.979768786127168
0.974683544303797,0.976878612716763
0.974683544303797,0.968208092485549
0.974683544303797,0.96242774566474
0.967088607594937,0.96242774566474
0.964556962025316,0.96242774566474
0.962025316455696,0.959537572254335
0.959493670886076,0.956647398843931
0.956962025316456,0.956647398843931
0.949367088607595,0.953757225433526
0.946835443037975,0.947976878612717
0.946835443037975,0.939306358381503
0.941772151898734,0.936416184971098
0.939240506329114,0.933526011560694
0.931645569620253,0.930635838150289
0.924050632911392,0.930635838150289
0.918987341772152,0.930635838150289
0.911392405063291,0.927745664739884
0.911392405063291,0.92485549132948
0.89620253164557,0.921965317919075
0.893670886075949,0.916184971098266
0.886075949367089,0.916184971098266
0.883544303797468,0.916184971098266
0.878481012658228,0.913294797687861
0.875949367088608,0.910404624277457
0.870886075949367,0.904624277456647
0.868354430379747,0.898843930635838
0.860759493670886,0.895953757225434
0.853164556962025,0.890173410404624
0.843037974683544,0.890173410404624
0.827848101265823,0.88728323699422
0.822784810126582,0.88150289017341
0.810126582278481,0.88150289017341
0.80253164556962,0.878612716763006
0.777215189873418,0.869942196531792
0.762025316455696,0.864161849710983
0.749367088607595,0.864161849710983
0.736708860759494,0.864161849710983
0.726582278481013,0.855491329479769
0.70126582278481,0.846820809248555
0.693670886075949,0.846820809248555
0.683544303797468,0.838150289017341
0.670886075949367,0.835260115606936
0.663291139240506,0.832369942196532
0.645569620253165,0.826589595375723
0.617721518987342,0.820809248554913
0.6,0.803468208092486
0.587341772151899,0.797687861271676
0.569620253164557,0.797687861271676
0.562025316455696,0.791907514450867
0.551898734177215,0.783236994219653
0.539240506329114,0.780346820809249
0.524050632911392,0.777456647398844
0.508860759493671,0.76878612716763
0.49620253164557,0.754335260115607
