model,Accuracy,Precision,Recall,FOne,AUC,TP,FP,FN,TN
RandomForestNoFeatureEngineering,0.724696356275304,0.994818652849741,0.486075949367089,0.653061224489796,0.969547084217458,192,1,203,345
RandomForestNoFeatureEngineeringPCA,0.750337381916329,0.990654205607477,0.536708860759494,0.696223316912972,0.935834491841662,212,2,183,344
RandomForestWithFeatureEngineering,0.800269905533063,0.778781038374718,0.873417721518987,0.823389021479714,0.905118167849565,345,98,50,248
RandomForestWithFeatureEngineeringPCA,0.56140350877193,0.690217391304348,0.321518987341772,0.438687392055268,0.68950391453867,127,57,268,289
