model,Accuracy,Precision,Recall,FOne,AUC,TP,FP,FN,TN
XGBoost,0.916385704652731,0.922563417890521,0.912813738441215,0.917662682602922,0.970971574760454,691,58,66,668
LogReg,0.895482130815914,0.996699669966997,0.797886393659181,0.886280264123258,0.959492850930343,604,2,153,724
LinSVM,0.894807821982468,0.996694214876033,0.796565389696169,0.885462555066079,0.969474982805114,603,2,154,724
RandomForest,0.886716115981119,0.996627318718381,0.780713342140026,0.875555555555556,0.959162599939591,591,2,166,724
