model,Accuracy,Precision,Recall,FOne,AUC,TP,FP,FN,TN
XGBoostNoFeatureEngineering,0.769230769230769,0.995575221238938,0.569620253164557,0.72463768115942,0.977171288505158,225,1,170,345
XGBoostNoFeatureEngineeringPCA,0.862348178137652,0.996610169491525,0.744303797468354,0.852173913043478,0.953457232750421,294,1,101,345
XGBoostWithFeatureEngineering,0.711201079622132,0.720194647201947,0.749367088607595,0.734491315136477,0.797190312431404,296,115,99,231
XGBoostWithFeatureEngineeringPCA,0.577597840755736,0.841666666666667,0.255696202531646,0.392233009708738,0.736035706446184,101,19,294,327
