"fpr","tpr"
1,1
0.998678996036988,1
0.997357992073976,1
0.996036988110964,1
0.994715984147952,1
0.993394980184941,1
0.992073976221929,1
0.990752972258917,1
0.989431968295905,1
0.988110964332893,1
0.986789960369881,1
0.985468956406869,1
0.984147952443857,1
0.982826948480845,1
0.981505944517834,1
0.980184940554822,1
0.97886393659181,1
0.977542932628798,1
0.976221928665786,1
0.974900924702774,1
0.973579920739762,1
0.97225891677675,1
0.970937912813738,1
0.969616908850727,1
0.968295904887715,1
0.966974900924703,1
0.965653896961691,1
0.964332892998679,1
0.963011889035667,1
0.961690885072655,1
0.960369881109643,1
0.959048877146631,1
0.95772787318362,1
0.956406869220608,1
0.955085865257596,1
0.953764861294584,1
0.952443857331572,1
0.95112285336856,1
0.949801849405548,1
0.948480845442536,1
0.947159841479524,1
0.945838837516513,1
0.944517833553501,1
0.943196829590489,1
0.941875825627477,1
0.940554821664465,1
0.939233817701453,1
0.937912813738441,1
0.936591809775429,1
0.935270805812417,1
0.933949801849406,1
0.932628797886394,1
0.931307793923382,1
0.92998678996037,1
0.928665785997358,1
0.927344782034346,1
0.926023778071334,1
0.924702774108322,1
0.92338177014531,1
0.922060766182299,1
0.920739762219287,1
0.919418758256275,1
0.918097754293263,1
0.916776750330251,1
0.915455746367239,1
0.914134742404227,1
0.912813738441215,1
0.911492734478203,1
0.910171730515192,1
0.90885072655218,1
0.907529722589168,1
0.906208718626156,1
0.904887714663144,1
0.903566710700132,1
0.90224570673712,1
0.900924702774108,1
0.899603698811096,1
0.898282694848085,1
0.896961690885073,1
0.895640686922061,1
0.894319682959049,1
0.892998678996037,1
0.891677675033025,1
0.890356671070013,1
0.889035667107001,1
0.887714663143989,1
0.886393659180978,1
0.885072655217966,1
0.883751651254954,1
0.882430647291942,1
0.88110964332893,1
0.879788639365918,1
0.878467635402906,1
0.877146631439894,1
0.875825627476882,1
0.87450462351387,1
0.873183619550859,1
0.871862615587847,1
0.870541611624835,1
0.869220607661823,1
0.867899603698811,1
0.866578599735799,1
0.865257595772787,1
0.863936591809775,1
0.862615587846764,1
0.861294583883752,1
0.85997357992074,1
0.858652575957728,1
0.857331571994716,1
0.856010568031704,1
0.854689564068692,1
0.85336856010568,1
0.852047556142668,1
0.850726552179657,1
0.849405548216645,1
0.848084544253633,1
0.846763540290621,1
0.845442536327609,1
0.844121532364597,1
0.842800528401585,1
0.841479524438573,1
0.840158520475561,1
0.83883751651255,1
0.837516512549538,1
0.836195508586526,1
0.834874504623514,1
0.833553500660502,1
0.83223249669749,1
0.830911492734478,1
0.829590488771466,1
0.828269484808454,1
0.826948480845443,1
0.825627476882431,1
0.824306472919419,1
0.822985468956407,1
0.821664464993395,1
0.820343461030383,1
0.819022457067371,1
0.817701453104359,1
0.816380449141347,1
0.815059445178336,1
0.813738441215324,1
0.812417437252312,1
0.8110964332893,1
0.809775429326288,1
0.808454425363276,1
0.807133421400264,1
0.805812417437252,1
0.80449141347424,1
0.803170409511229,1
0.801849405548217,1
0.800528401585205,1
0.799207397622193,1
0.797886393659181,1
0.796565389696169,1
0.795244385733157,1
0.793923381770145,1
0.792602377807133,1
0.791281373844122,1
0.78996036988111,1
0.788639365918098,1
0.787318361955086,1
0.785997357992074,1
0.784676354029062,1
0.78335535006605,1
0.782034346103038,1
0.780713342140026,1
0.779392338177014,1
0.778071334214003,1
0.776750330250991,1
0.775429326287979,1
0.774108322324967,1
0.772787318361955,1
0.771466314398943,1
0.770145310435931,1
0.768824306472919,1
0.767503302509908,1
0.766182298546896,1
0.764861294583884,1
0.763540290620872,1
0.76221928665786,1
0.760898282694848,1
0.759577278731836,1
0.758256274768824,1
0.756935270805812,1
0.755614266842801,1
0.754293262879789,1
0.752972258916777,1
0.751651254953765,1
0.750330250990753,1
0.749009247027741,1
0.747688243064729,1
0.746367239101717,1
0.745046235138705,1
0.743725231175693,1
0.742404227212682,1
0.74108322324967,1
0.739762219286658,1
0.738441215323646,1
0.737120211360634,1
0.735799207397622,1
0.73447820343461,1
0.733157199471598,1
0.731836195508587,1
0.730515191545575,1
0.729194187582563,1
0.727873183619551,1
0.726552179656539,1
0.725231175693527,1
0.723910171730515,1
0.722589167767503,1
0.721268163804491,1
0.71994715984148,1
0.718626155878468,1
0.717305151915456,1
0.715984147952444,1
0.714663143989432,1
0.71334214002642,1
0.712021136063408,1
0.710700132100396,1
0.709379128137384,1
0.708058124174373,1
0.706737120211361,1
0.705416116248349,1
0.704095112285337,1
0.702774108322325,1
0.701453104359313,1
0.700132100396301,1
0.698811096433289,1
0.697490092470277,1
0.696169088507266,1
0.694848084544254,1
0.693527080581242,1
0.69220607661823,1
0.690885072655218,1
0.689564068692206,1
0.688243064729194,1
0.686922060766182,1
0.68560105680317,1
0.684280052840158,1
0.682959048877147,1
0.681638044914135,1
0.680317040951123,1
0.678996036988111,1
0.677675033025099,1
0.676354029062087,1
0.675033025099075,1
